"country_code","country","year","imf_gdp_growth","world_bank_gdp_growth","difference_pp","absolute_difference_pp"
"BRN","Brunei Darussalam","2015","-0.392381","-0.392383749502031","2.74950203099644E-06","2.74950203099644E-06"
"BRN","Brunei Darussalam","2016","-2.477916","-2.47791771833224","1.71833224005269E-06","1.71833224005269E-06"
"BRN","Brunei Darussalam","2017","1.328727","1.32872661057823","3.89421769941833E-07","3.89421769941833E-07"
"BRN","Brunei Darussalam","2018","0.052368","0.0523710418528935","-3.04185289350112E-06","3.04185289350112E-06"
"BRN","Brunei Darussalam","2019","3.868844","3.86884436177075","-3.61770749801593E-07","3.61770749801593E-07"
"BRN","Brunei Darussalam","2020","1.133575","1.1335733495246","1.65047539990582E-06","1.65047539990582E-06"
"BRN","Brunei Darussalam","2021","-1.590763","-1.59076260099606","-3.99003939888232E-07","3.99003939888232E-07"
"BRN","Brunei Darussalam","2022","-1.62833","-1.62833154515108","1.54515107997355E-06","1.54515107997355E-06"
"BRN","Brunei Darussalam","2023","1.12764","1.12764418162719","-4.18162719006965E-06","4.18162719006965E-06"
"BRN","Brunei Darussalam","2024","4.05252","4.05251709306727","2.90693273008458E-06","2.90693273008458E-06"
"KHM","Cambodia","2015","6.834408","7.20703472529512","-0.37262672529512","0.37262672529512"
"KHM","Cambodia","2016","7.356667","7.90550116130704","-0.54883416130704","0.54883416130704"
"KHM","Cambodia","2017","7.580218","8.07503915535979","-0.494821155359789","0.494821155359789"
"KHM","Cambodia","2018","8.731106","8.77622376224463","-0.0451177622446295","0.0451177622446295"
"KHM","Cambodia","2019","7.88345","7.93695013588524","-0.0535001358852405","0.0535001358852405"
"KHM","Cambodia","2020","-2.957834","-3.55572193406549","0.59788793406549","0.59788793406549"
"KHM","Cambodia","2021","2.903844","3.08984284148661","-0.18599884148661","0.18599884148661"
"KHM","Cambodia","2022","5.502947","5.12990110773977","0.37304589226023","0.37304589226023"
"KHM","Cambodia","2023","5.00733","5.00733043811898","-4.3811898020607E-07","4.3811898020607E-07"
"KHM","Cambodia","2024","6.019821","6.0158145735202","0.00400642647980032","0.00400642647980032"
"IDN","Indonesia","2015","4.876322","4.87632230022123","-3.0022123009843E-07","3.0022123009843E-07"
"IDN","Indonesia","2016","5.033069","5.03306918280177","-1.82801770165497E-07","1.82801770165497E-07"
"IDN","Indonesia","2017","5.069786","5.06978590134916","9.86508394973384E-08","9.86508394973384E-08"
"IDN","Indonesia","2018","5.174292","5.17429153955024","4.60449760097958E-07","4.60449760097958E-07"
"IDN","Indonesia","2019","5.019288","5.01928768046282","3.19537180715201E-07","3.19537180715201E-07"
"IDN","Indonesia","2020","-2.065512","-2.06551182934165","-1.70658350118202E-07","1.70658350118202E-07"
"IDN","Indonesia","2021","3.702886","3.70288562827751","3.71722489678206E-07","3.71722489678206E-07"
"IDN","Indonesia","2022","5.307197","5.30719722664799","-2.26647989265416E-07","2.26647989265416E-07"
"IDN","Indonesia","2023","5.048831","5.04883117855516","-1.78555159990879E-07","1.78555159990879E-07"
"IDN","Indonesia","2024","5.032575","5.03257477088519","2.29114809791042E-07","2.29114809791042E-07"
"LAO","Lao P.D.R.","2015","7.269872","7.27006584373785","-0.000193843737849697","0.000193843737849697"
"LAO","Lao P.D.R.","2016","7.022836","7.02283625501138","-2.55011380012604E-07","2.55011380012604E-07"
"LAO","Lao P.D.R.","2017","6.892164","6.8925308726989","-0.000366872698899456","0.000366872698899456"
"LAO","Lao P.D.R.","2018","6.248007","6.24796000755872","4.69924412804801E-05","4.69924412804801E-05"
"LAO","Lao P.D.R.","2019","4.651992","5.4577350924848","-0.8057430924848","0.8057430924848"
"LAO","Lao P.D.R.","2020","-0.434912","0.503031829018681","-0.937943829018681","0.937943829018681"
"LAO","Lao P.D.R.","2021","2.061386","2.52835100486102","-0.46696500486102","0.46696500486102"
"LAO","Lao P.D.R.","2022","2.252146","2.70742652643155","-0.45528052643155","0.45528052643155"
"LAO","Lao P.D.R.","2023","3.657866","3.74568140158232","-0.0878154015823203","0.0878154015823203"
"LAO","Lao P.D.R.","2024","4.298969","4.13019264438475","0.16877635561525","0.16877635561525"
"MYS","Malaysia","2015","5.007195","5.09153242155011","-0.08433742155011","0.08433742155011"
"MYS","Malaysia","2016","4.449835","4.44978139761541","5.3602384590512E-05","5.3602384590512E-05"
"MYS","Malaysia","2017","5.812722","5.81272240983328","-4.0983328020161E-07","4.0983328020161E-07"
